task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,holoclean,HC,"k=5, linkage=single, metric=manhattan",0.6996457795931807,0.23448298318737368,2.4821737887974513
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,holoclean,KMEANS,k=28,0.44567802906445697,0.7039053820757445,0.9331617549629827
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,holoclean,KMEANSPPS,k=26,0.46469586224491777,0.8517680292699076,0.8193622153150397
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,horizon,KMEANSNF,k=7,0.5262302567669338,0.7581910032043337,0.922579561338825
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,horizon,GMM,"n_components=9, covariance type=full",0.6648672432192572,0.4126364624117712,1.5441539748658768
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,horizon,HC,"k=5, linkage=single, metric=manhattan",0.5858399493836455,0.21702831877781162,2.596766785171371
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,horizon,KMEANS,k=11,0.6735782768571121,0.4581552438571539,1.4281222764945096
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,horizon,KMEANSPPS,k=9,0.5619491360260513,1.0663784856117111,0.7498512443022918
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,scared,KMEANSNF,k=8,0.5736550396313549,0.7992222171495729,0.9124357540102306
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,scared,GMM,"n_components=11, covariance type=tied",0.5729760437003846,0.4494713942930766,1.3989058672314187
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,scared,HC,"k=5, linkage=single, metric=manhattan",0.6048652088546704,0.2082571782528963,2.7033102317657165
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,scared,KMEANS,k=10,0.6499569995573077,0.4582160052436734,1.416166922439941
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,scared,KMEANSPPS,k=9,0.5733605035322769,1.1050742428460625,0.7391385397380628
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,baran,KMEANSNF,k=12,0.4720978875140134,0.9768063181260906,0.7479211447468632
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,baran,GMM,"n_components=11, covariance type=tied",0.5688259844208504,0.45418644779618983,1.38528247527428
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,baran,HC,"k=6, linkage=single, metric=manhattan",0.6397196505922874,0.20210905608255927,2.7937717305388046
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,baran,KMEANS,k=12,0.5943644362001539,0.4661141621700209,1.369880798362521
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,baran,KMEANSPPS,k=11,0.5445262200388532,0.7904138902720053,0.9048430863504788
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,Unified,KMEANSNF,k=11,0.5370613862597314,1.0075711007543222,0.7647735881728785
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,Unified,GMM,"n_components=9, covariance type=tied",0.594575806199608,0.4989076250240183,1.2994774366350534
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,Unified,HC,"k=5, linkage=average, metric=euclidean",0.5521476678199847,0.3493607913765536,1.7072590508597731
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,Unified,KMEANS,k=9,0.6047582472952802,0.4921514125189757,1.318326629397655
rayyan,6,48,27.145454545454545,12,1000,5.0,10.0,,,Unified,KMEANSPPS,k=10,0.5936796890585597,0.9384474304195335,0.8296347393658237
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,mode,KMEANS,k=29,0.4664596590105879,1.0556970100026697,0.7068505703642034
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,bigdansing,KMEANSNF,k=10,0.565331994476924,0.6928828906227155,1.0042886650324876
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,bigdansing,GMM,"n_components=10, covariance type=tied",0.6601524204317089,0.4409290372396465,1.4640455290208854
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,bigdansing,HC,"k=5, linkage=single, metric=manhattan",0.5685052224025321,0.24466437501526128,2.3278684828164606
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,bigdansing,KMEANS,k=10,0.6601524204317089,0.4409290372396465,1.4640455290208854
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,bigdansing,KMEANSPPS,k=10,0.5961098726438253,0.6781548820027565,1.0353496359093848
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,holoclean,KMEANSNF,k=28,0.37765089755421943,1.0053758312176928,0.6861519056846814
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,holoclean,GMM,"n_components=13, covariance type=tied",0.3724035920502046,0.9124650449265,0.7341679924072064
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,holoclean,HC,"k=27, linkage=single, metric=manhattan",0.3265438862781472,0.3143676312776864,1.7537664796403245
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,holoclean,KMEANS,k=28,0.37710294767406444,0.8594417000289949,0.7703245015864788
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,holoclean,KMEANSPPS,k=28,0.3547666281657291,1.005666372488849,0.674566091272269
rayyan,7,51,31.681818181818183,12,1000,5.0,15.0,,,horizon,KMEANSNF,k=7,0.5898016129221618,0.5717437124471259,1.169418512759844
